Juror,Testimony,Instructions,Verdict
187,weak,new,not guilty
188,weak,standard,not guilty
189,weak,new,guilty
190,weak,new,not guilty
191,strong,standard,not guilty
192,strong,new,not guilty
193,weak,standard,not guilty
194,strong,new,not guilty
195,weak,standard,not guilty
196,weak,new,not guilty
197,strong,new,not guilty
198,weak,new,not guilty
199,weak,standard,not guilty
200,strong,standard,not guilty
201,strong,new,not guilty
202,weak,standard,not guilty
203,weak,new,not guilty
204,weak,standard,not guilty
205,weak,standard,not guilty
206,weak,new,not guilty
207,weak,new,not guilty
208,strong,standard,not guilty
209,strong,new,not guilty
210,weak,standard,not guilty
211,strong,standard,guilty
212,weak,standard,guilty
213,strong,new,not guilty
214,weak,standard,guilty
215,weak,new,not guilty
216,strong,new,guilty
217,strong,new,not guilty
218,weak,standard,guilty
219,strong,standard,not guilty
220,weak,standard,guilty
221,strong,new,not guilty
222,weak,new,not guilty
223,weak,standard,guilty
224,strong,standard,not guilty
225,strong,new,guilty
226,strong,new,not guilty
227,weak,new,not guilty
228,strong,standard,guilty
229,weak,new,not guilty
230,strong,standard,not guilty
231,strong,new,not guilty
232,weak,new,not guilty
233,strong,new,not guilty
234,strong,standard,guilty
235,weak,standard,not guilty
236,weak,new,guilty
237,weak,standard,not guilty
238,strong,new,not guilty
239,strong,standard,not guilty
240,weak,standard,not guilty
241,strong,new,not guilty
242,strong,standard,guilty
243,strong,standard,guilty
244,weak,standard,not guilty
245,strong,new,not guilty
246,weak,standard,not guilty
247,weak,standard,guilty
248,strong,new,not guilty
249,strong,standard,not guilty
250,weak,new,not guilty
251,strong,new,not guilty
252,weak,standard,not guilty
253,weak,standard,not guilty
254,strong,standard,guilty
255,strong,new,not guilty
256,strong,new,not guilty
257,weak,new,not guilty
258,weak,standard,not guilty
259,weak,new,not guilty
260,strong,standard,not guilty
261,strong,standard,guilty
262,strong,new,guilty
263,weak,new,guilty
264,weak,standard,not guilty
265,weak,new,not guilty
266,strong,new,not guilty
267,weak,standard,not guilty
268,weak,new,not guilty
269,weak,new,guilty
270,strong,new,not guilty
271,strong,standard,not guilty
272,strong,standard,not guilty
273,strong,standard,not guilty
274,weak,standard,not guilty
275,strong,new,guilty
276,strong,standard,not guilty
277,weak,new,not guilty
278,strong,new,not guilty
279,strong,standard,guilty
280,strong,new,guilty
281,strong,new,not guilty
282,weak,standard,not guilty
283,weak,new,not guilty
284,weak,new,not guilty
285,strong,new,not guilty
286,strong,standard,not guilty
287,weak,new,not guilty
288,weak,new,guilty
289,strong,standard,not guilty
290,strong,new,not guilty
291,weak,standard,not guilty
292,strong,standard,guilty
293,strong,new,not guilty
294,weak,new,guilty
295,weak,new,not guilty
296,weak,standard,not guilty
297,strong,standard,not guilty
298,weak,standard,not guilty
299,strong,new,not guilty
300,weak,standard,not guilty
301,strong,standard,not guilty
302,weak,new,not guilty
303,strong,standard,not guilty
304,weak,new,not guilty
305,strong,new,not guilty
306,weak,standard,guilty
307,strong,standard,not guilty
308,strong,new,not guilty
309,weak,standard,not guilty
310,weak,standard,not guilty
311,strong,new,guilty
312,strong,standard,guilty
313,strong,standard,not guilty
314,weak,new,not guilty
315,strong,new,not guilty
316,weak,standard,guilty
317,weak,standard,not guilty
318,strong,new,not guilty
319,strong,standard,not guilty
320,weak,standard,not guilty
321,weak,new,not guilty
322,weak,standard,not guilty
323,strong,standard,not guilty
324,weak,new,not guilty
325,strong,new,not guilty
326,weak,new,not guilty
327,strong,standard,guilty
328,strong,standard,guilty
329,weak,standard,not guilty
330,weak,standard,not guilty
331,strong,new,not guilty
332,strong,standard,not guilty
333,weak,new,not guilty
334,weak,new,not guilty
335,weak,standard,not guilty
336,strong,new,not guilty
337,strong,standard,not guilty
338,weak,standard,not guilty
339,strong,new,not guilty
340,strong,standard,not guilty
341,strong,new,not guilty
342,strong,standard,guilty
343,weak,standard,not guilty
344,strong,new,guilty
345,weak,standard,guilty
346,strong,standard,guilty
347,weak,standard,guilty
348,strong,new,not guilty
349,strong,new,not guilty
350,strong,standard,not guilty
351,weak,new,not guilty
352,strong,standard,not guilty
353,strong,standard,not guilty
354,weak,new,not guilty
355,weak,standard,guilty
356,weak,standard,not guilty
357,weak,new,guilty
358,weak,standard,not guilty
359,strong,standard,guilty
360,strong,new,not guilty
361,weak,new,not guilty
362,strong,standard,not guilty
363,strong,new,guilty
364,weak,standard,guilty
365,strong,new,not guilty
366,strong,new,not guilty
367,weak,new,not guilty
368,strong,standard,guilty
369,weak,new,guilty
370,strong,standard,guilty
371,weak,new,guilty
372,weak,new,guilty
373,weak,new,not guilty
